Year,SERIES,Bioklimatski pojas,Pokrivenost zemljišta,UNIT_MEASURE,Value
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Indeks zelenog pokrivača planine (MGCI),Kvadratnih kilometara,37671.22
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Indeks zelenog pokrivača planine (MGCI),Kvadratnih kilometara,37666.77
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine prekrivene žbunjem,Kvadratnih kilometara,412.07
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine prekrivene žbunjem,Kvadratnih kilometara,410.18
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine prekrivene žbunjem,Kvadratnih kilometara,408.85
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine prekrivene žbunjem,Kvadratnih kilometara,413.61
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine sa rijetkom vegetacijom,Kvadratnih kilometara,27.06
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine sa rijetkom vegetacijom,Kvadratnih kilometara,30.21
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine sa rijetkom vegetacijom,Kvadratnih kilometara,30.48
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Površine sa rijetkom vegetacijom,Kvadratnih kilometara,30.62
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Neplodna zemlja,Kvadratnih kilometara,11.82
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Neplodna zemlja,Kvadratnih kilometara,11.55
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Neplodna zemlja,Kvadratnih kilometara,12.45
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Neplodna zemlja,Kvadratnih kilometara,13.05
2005,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Područja pokrivena drvećem,Kvadratnih kilometara,25311.47
2010,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Područja pokrivena drvećem,Kvadratnih kilometara,25754.05
2015,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Područja pokrivena drvećem,Kvadratnih kilometara,25848.72
2018,Indeks planinskog zelenog pokrivača (kvadratnih kilometara),Planinski,Područja pokrivena drvećem,Kvadratnih kilometara,25758.93
