Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2015,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.60722
2016,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.68162
2017,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.55211
2018,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.52796
2019,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.54985
2020,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.61845
2021,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.60936
2022,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Nemetalni minerali,0.57517
2015,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.001
2016,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.0006
2017,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.0002
2018,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.0015
2019,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.0018
2020,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.0019
2021,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.002
2022,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Otpad za konačnu obradu i odlaganje,0.0024
2015,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.0231
2016,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.03317
2017,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.03598
2018,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.0362
2019,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.03545
2020,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.03127
2021,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.0327
2022,"Potrošnja domaćih materijala, po jedinici BDP-a, prema vrsti sirovine (kilogrami po konstanti 2015 američkih dolara)",Kilogrami po konstanti američkog dolara,Mješoviti i složeni proizvodi,-0.0426
2015,Potrošnja domaćih materijala,Tone,Bez podjele,35633283.0
2016,Potrošnja domaćih materijala,Tone,Bez podjele,39536554.0
2017,Potrošnja domaćih materijala,Tone,Bez podjele,36678666.0
2018,Potrošnja domaćih materijala,Tone,Bez podjele,38613344.0
2019,Potrošnja domaćih materijala,Tone,Bez podjele,38693919.0
2020,Potrošnja domaćih materijala,Tone,Bez podjele,39023205.0
2021,Potrošnja domaćih materijala,Tone,Bez podjele,37610072.0
2022,Potrošnja domaćih materijala,Tone,Bez podjele,37457935.0
2023,Potrošnja domaćih materijala,Tone,Bez podjele,35293150.0
2015,Potrošnja domaćih materijala,Tone,Biomasa,8160428.0
2016,Potrošnja domaćih materijala,Tone,Biomasa,9481773.0
2017,Potrošnja domaćih materijala,Tone,Biomasa,7998667.0
2018,Potrošnja domaćih materijala,Tone,Biomasa,9711347.0
2019,Potrošnja domaćih materijala,Tone,Biomasa,9700286.0
2020,Potrošnja domaćih materijala,Tone,Biomasa,9995426.0
2021,Potrošnja domaćih materijala,Tone,Biomasa,8299906.0
2022,Potrošnja domaćih materijala,Tone,Biomasa,8311664.0
2023,Potrošnja domaćih materijala,Tone,Biomasa,7985937.0
2015,Potrošnja domaćih materijala,Tone,Fosilna goriva,14810639.0
2016,Potrošnja domaćih materijala,Tone,Fosilna goriva,16426875.0
2017,Potrošnja domaćih materijala,Tone,Fosilna goriva,17114446.0
2018,Potrošnja domaćih materijala,Tone,Fosilna goriva,17442547.0
2019,Potrošnja domaćih materijala,Tone,Fosilna goriva,16400470.0
2020,Potrošnja domaćih materijala,Tone,Fosilna goriva,16222610.0
2021,Potrošnja domaćih materijala,Tone,Fosilna goriva,15789864.0
2022,Potrošnja domaćih materijala,Tone,Fosilna goriva,15844402.0
2023,Potrošnja domaćih materijala,Tone,Fosilna goriva,14776646.0
2015,Potrošnja domaćih materijala,Tone,Metalne rude,3064341.0
2016,Potrošnja domaćih materijala,Tone,Metalne rude,2636392.0
2017,Potrošnja domaćih materijala,Tone,Metalne rude,2537296.0
2018,Potrošnja domaćih materijala,Tone,Metalne rude,2504448.0
2019,Potrošnja domaćih materijala,Tone,Metalne rude,2950555.0
2020,Potrošnja domaćih materijala,Tone,Metalne rude,2132375.0
2021,Potrošnja domaćih materijala,Tone,Metalne rude,2261955.0
2022,Potrošnja domaćih materijala,Tone,Metalne rude,2454569.0
2023,Potrošnja domaćih materijala,Tone,Metalne rude,2483816.0
2015,Potrošnja domaćih materijala,Tone,Nemetalni minerali,9961015.0
2016,Potrošnja domaćih materijala,Tone,Nemetalni minerali,11544016.0
2017,Potrošnja domaćih materijala,Tone,Nemetalni minerali,9653949.0
2018,Potrošnja domaćih materijala,Tone,Nemetalni minerali,9585274.0
2019,Potrošnja domaćih materijala,Tone,Nemetalni minerali,10270696.0
2020,Potrošnja domaćih materijala,Tone,Nemetalni minerali,11203837.0
2021,Potrošnja domaćih materijala,Tone,Nemetalni minerali,11855036.0
2022,Potrošnja domaćih materijala,Tone,Nemetalni minerali,11662839.0
2023,Potrošnja domaćih materijala,Tone,Nemetalni minerali,10778995.0
2015,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,15740.0
2016,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,9336.0
2017,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,3472.0
2018,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,26933.0
2019,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,34009.0
2020,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,35371.0
2021,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,39470.0
2022,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,48372.0
2023,Potrošnja domaćih materijala,Tone,Otpad za konačnu obradu i odlaganje,
2015,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-378880.0
2016,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-561838.0
2017,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-629164.0
2018,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-657205.0
2019,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-662097.0
2020,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-566414.0
2021,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-636159.0
2022,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,-863911.0
2023,Potrošnja domaćih materijala,Tone,Mješoviti i složeni proizvodi,
