Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Вјештачке површине,Квадратних километара,283.6
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Вјештачке површине,Квадратних километара,311.7
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Вјештачке површине,Квадратних километара,329.0
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Вјештачке површине,Квадратних километара,337.8
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Вјештачке површине,Квадратних километара,340.9
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Вјештачке површине,Квадратних километара,343.9
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Усјеви,Квадратних километара,10293.5
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Усјеви,Квадратних километара,9714.0
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Усјеви,Квадратних километара,9310.0
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Усјеви,Квадратних километара,9157.5
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Усјеви,Квадратних километара,9149.1
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Усјеви,Квадратних километара,9140.8
205,Индекс планинског зеленог покривача (квадратних километара),Планински,Трајни снијег и глечери,Квадратних километара,0.0
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Трајни снијег и глечери,Квадратних километара,0.0
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Трајни снијег и глечери,Квадратних километара,0.0
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Трајни снијег и глечери,Квадратних километара,0.0
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Трајни снијег и глечери,Квадратних километара,0.0
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Травнате површине,Квадратних километара,2457.6
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Травнате површине,Квадратних километара,2873.8
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Травнате површине,Квадратних километара,2879.6
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Травнате површине,Квадратних километара,2842.2
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Травнате површине,Квадратних километара,2843.5
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Травнате површине,Квадратних километара,2844.8
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,18.89
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,21.9
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
